"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"222909_s_at",1.34251074074492,6.53278340004636,2.95137006489778,0.00364657611549338,0.04186585029544,-2.14994637481593,"BAG4","9530","BAG cochaperone 4"
"211726_s_at",1.59723836328602,5.77922576108817,2.95126423756396,0.00364775952193832,0.0418698992633144,-2.15023298881637,"FMO2","2327","flavin containing dimethylaniline monoxygenase 2"
"221702_s_at",-1.22422425089725,10.7697738975431,-2.95110069250983,0.00364958904600377,0.041876694424146,-2.15067590269924,"TM2D3","80213","TM2 domain containing 3"
"1561604_at",1.43365273086653,5.05895829227274,2.951062781355,0.00365001326571444,0.041876694424146,-2.15077857083552,NA,NA,NA
"205199_at",1.38677070266966,5.60600118035346,2.95048038618179,0.00365653586531854,0.0419377227406011,-2.15235562184527,"CA9","768","carbonic anhydrase 9"
"1569450_at",1.7298205032873,3.24917460080992,2.95043927351863,0.0036569967152426,0.0419377227406011,-2.15246693914894,"CAPZA2","830","capping actin protein of muscle Z-line subunit alpha 2"
"237459_at",1.66062497937071,5.62817131706943,2.95029449113392,0.00365862006920113,0.0419467948379905,-2.15285894323785,NA,NA,NA
"209014_at",-1.17979258618286,10.8972186050256,-2.95008803907914,0.0036609360305894,0.0419638018825873,-2.15341789075954,"MAGED1","9500","MAGE family member D1"
"231016_s_at",0.817075914153056,7.28912797864806,2.94999562442406,0.00366197316619762,0.0419661458730164,-2.1536680825532,"ARNT","405","aryl hydrocarbon receptor nuclear translocator"
"200027_at",-0.9275195281314,12.1667758478828,-2.94949449351392,0.00366760187178018,0.0420210961444858,-2.1550246595638,"NARS1","4677","asparaginyl-tRNA synthetase 1"
"222562_s_at",1.39428289104878,6.81179916267799,2.94924191022911,0.00367044189794451,0.0420440777496139,-2.1557083325166,"TNKS2","80351","tankyrase 2"
"226191_at",-0.922025334859264,9.51393553698867,-2.94843510182218,0.00367952711439716,0.0421385698915545,-2.15789178960113,"GSK3B","2932","glycogen synthase kinase 3 beta"
"210094_s_at",1.39361621459047,7.44035538962578,2.94834486650504,0.00368054450833425,0.0421406460164821,-2.1581359593713,"PARD3","56288","par-3 family cell polarity regulator"
"241173_at",1.65262980315061,4.87027521243113,2.94813310138309,0.00368293315242792,0.0421502993781851,-2.15870895320191,NA,NA,NA
"226320_at",-1.81828830438253,4.68089624463477,-2.94812183919469,0.00368306022621629,0.0421502993781851,-2.15873942539102,"ALYREF","10189","Aly/REF export factor"
"234451_at",1.69221489298861,4.8178172534965,2.94804557346202,0.00368392085542345,0.0421505777603172,-2.15894577543465,NA,NA,NA
"227730_at",-1.29387219907484,6.51132607281365,-2.94776426245209,0.00368709693737599,0.0421711381758467,-2.15970686954856,"DYM","54808","dymeclin"
"227933_at",0.793794155754716,9.82663124954474,2.94773820673162,0.00368739124106578,0.0421711381758467,-2.1597773606881,"LINGO1","84894","leucine rich repeat and Ig domain containing 1"
"1566951_at",1.65829030853054,4.60808293774538,2.94752769017346,0.0036897698514948,0.0421865553453668,-2.16034687175297,NA,NA,NA
"238363_at",1.49328151960794,5.26373129100966,2.94747076067405,0.0036904133354045,0.0421865553453668,-2.16050087706537,NA,NA,NA
"235019_at",1.76000373089788,5.80169046654521,2.9471552152016,0.003693981868058,0.0422133095700782,-2.16135444053645,"CPM","1368","carboxypeptidase M"
"240623_at",1.4883208591062,5.0752952784632,2.94711571071718,0.00369442885088818,0.0422133095700782,-2.1614612960509,NA,NA,NA
"1555853_at",1.46766580201421,5.25828901493186,2.94662933974893,0.00369993607950972,0.0422666542029396,-2.16277677418146,"PSMB8-AS1","100507463","PSMB8 antisense RNA 1"
"1563845_at",1.42078622751103,6.62385336110865,2.94606941928759,0.00370628544576633,0.0423165571301387,-2.16429094045779,"FAM153B","202134","protein FAM153B"
"213276_at",-1.46662682642549,8.13864912380764,-2.94604488356056,0.00370656390369738,0.0423165571301387,-2.16435728538897,"CAMK2B","816","calcium/calmodulin dependent protein kinase II beta"
"229571_at",1.14450206644385,6.60583541459766,2.94595468973427,0.00370758768567986,0.0423165571301387,-2.16460116645615,NA,NA,NA
"211701_s_at",-0.882405930465984,7.5484653841208,-2.9459396554724,0.0037077583634619,0.0423165571301387,-2.16464181794622,"TRO","7216","trophinin"
"219279_at",-1.48972330336251,7.14429336078504,-2.94582208429431,0.00370909334932181,0.0423165571301387,-2.16495971500628,"DOCK10","55619","dedicator of cytokinesis 10"
"1564753_at",1.78350282735733,6.21592071654882,2.9458001844174,0.00370934206466048,0.0423165571301387,-2.16501892815384,NA,NA,NA
"205107_s_at",1.72528929255922,4.46367287015377,2.94570574635691,0.0037104147662923,0.0423192158035524,-2.16527426640798,"EFNA4","1945","ephrin A4"
"222043_at",0.917596417472739,11.0748673865459,2.94561760460007,0.00371141620641046,0.0423210606830981,-2.1655125743549,"CLU","1191","clusterin"
"236054_at",1.71737303682421,4.83296723012786,2.94540152926279,0.00371387223884839,0.0423299844964591,-2.16609674808303,NA,NA,NA
"220389_at",1.64613643661769,4.27862463133246,2.94540097655791,0.00371387852311149,0.0423299844964591,-2.16609824230764,"CCDC81","60494","coiled-coil domain containing 81"
"1562920_at",1.48076461272516,5.05061257161194,2.94517184419737,0.00371648460237718,0.0423433133108843,-2.16671767469191,"FAM169A-AS1","441086","FAM169A antisense RNA 1"
"242111_at",1.40721720274973,6.30077405214024,2.94515043394361,0.00371672820157045,0.0423433133108843,-2.16677555259898,"METTL3","56339","methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit"
"221112_at",1.51985510694555,5.12394022960577,2.94486070586554,0.00372002607840446,0.0423713072039917,-2.1675587317709,"IL1RAPL2","26280","interleukin 1 receptor accessory protein like 2"
"236037_at",1.17968061699376,7.00687280090533,2.94458142473503,0.00372320758282554,0.0423979632584704,-2.16831360620565,"ARFGEF3","57221","ARFGEF family member 3"
"221587_s_at",1.15546371142058,6.4834094922027,2.9441707967008,0.00372788989477362,0.0424352042221499,-2.16942338479716,"FAM174C","55009","family with sequence similarity 174 member C"
"202315_s_at",-0.84786463202821,7.92004077166074,-2.94414696331943,0.00372816182805261,0.0424352042221499,-2.16948779354117,"BCR","613","BCR activator of RhoGEF and GTPase"
"223132_s_at",0.96851405118004,9.54157965570425,2.94387244875476,0.00373129528725784,0.0424598468777454,-2.1702296244635,"TRIM8","81603","tripartite motif containing 8"
"234376_at",-1.53254765537411,3.59606898285552,-2.9438097153705,0.00373201169953795,0.0424598468777454,-2.1703991425614,"MYCN","4613","MYCN proto-oncogene, bHLH transcription factor"
"1563596_at",1.70347854347709,4.68870874143485,2.94334119976829,0.00373736611830693,0.0425111689751269,-2.17166506313486,NA,NA,NA
"224355_s_at",1.6609900382989,4.34513686393156,2.94319907853817,0.0037389917401629,0.0425176864213277,-2.17204903656724,"MS4A8","83661","membrane spanning 4-domains A8"
