"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"223743_s_at",-2.95949583774187,4.87504612179965,-5.02434498804936,1.35479307723841e-06,0.000117932514483408,5.04659755017316,"MRPL4","51073","mitochondrial ribosomal protein L4"
"225954_s_at",2.48068160153811,6.34395507881325,5.02391105300402,1.35743503394229e-06,0.000117958764044354,5.04476804536075,"MIDN","90007","midnolin"
"213892_s_at",-1.68053886948324,7.19929911375035,-5.02066649773597,1.37734821704306e-06,0.000119418445776355,5.03109232319514,"APRT","353","adenine phosphoribosyltransferase"
"229869_at",1.36635455511333,7.56633654189145,5.02040404181383,1.37897135854127e-06,0.000119418445776355,5.02998635413223,NA,NA,NA
"201360_at",-2.13320627448984,9.58448797086161,-5.01957331747195,1.38412116880777e-06,0.000119658818231699,5.02648601836894,"CST3","1471","cystatin C"
"212897_at",1.96522184444986,7.69043781642147,5.01746642306317,1.39726605136119e-06,0.00012058836687441,5.01761027798074,"CDK19","23097","cyclin dependent kinase 19"
"202116_at",-1.65048491618287,8.35465736792144,-5.01502166842256,1.41267076106959e-06,0.000121527679900705,5.00731457290406,"DPF2","5977","double PHD fingers 2"
"213616_at",-1.49019022114736,8.34704842421415,-5.01497406129948,1.41297237002864e-06,0.000121527679900705,5.00711411854783,"TPGS2","25941","tubulin polyglutamylase complex subunit 2"
"213045_at",-2.13494060826654,10.0787695933531,-5.01075704019329,1.43993823493534e-06,0.000123635991446297,4.98936335414187,"MAST3","23031","microtubule associated serine/threonine kinase 3"
"204349_at",-1.99561903912706,8.01297932410378,-5.00963888564796,1.44717168223651e-06,0.000124045748225174,4.98465848527206,"MED7","9443","mediator complex subunit 7"
"200848_at",2.09766074791762,9.28500521123682,5.00738895613253,1.46183373046133e-06,0.000125089782426114,4.97519371713082,"AHCYL1","10768","adenosylhomocysteinase like 1"
"220116_at",-1.66686786250368,8.97256978800976,-5.00609904162183,1.47030459814311e-06,0.000125601393306798,4.96976881415028,"KCNN2","3781","potassium calcium-activated channel subfamily N member 2"
"216039_at",-1.91780601543816,8.88372799416397,-5.00519646061137,1.47626015851736e-06,0.000125896765227467,4.96597348835121,"GABRA2","2555","gamma-aminobutyric acid type A receptor subunit alpha2"
"1561657_at",2.03518709078942,7.74510810060295,5.00381820637899,1.48539958467886e-06,0.000126462203492228,4.96017891781422,NA,NA,NA
"204099_at",-1.31132472717657,9.29122184116514,-5.00319404510276,1.48955654259451e-06,0.000126602258521595,4.95755514378869,"SMARCD3","6604","SWI/SNF related BAF chromatin remodeling complex subunit D3"
"219203_at",-2.55506932985931,6.50173264823076,-5.00209416281652,1.49690933108681e-06,0.000127013008747654,4.95293216236842,"EMC9","51016","ER membrane protein complex subunit 9"
"203606_at",-1.54283188423044,10.438051320366,-5.0015854379404,1.50032209468905e-06,0.000127088628393988,4.95079415681935,"NDUFS6","4726","NADH:ubiquinone oxidoreductase subunit S6"
"220448_at",-1.96692081985207,7.83953470591828,-4.99692341504687,1.53195084162816e-06,0.000129550091222988,4.93120845445837,"KCNK12","56660","potassium two pore domain channel subfamily K member 12"
"212520_s_at",-1.84609688740314,9.58591600858207,-4.99592026257463,1.53884068302285e-06,0.00012991475588783,4.92699580766283,"SMARCA4","6597","SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4"
"209246_at",-2.1834120224844,7.06026084046626,-4.99369358723011,1.55424153707827e-06,0.000130995531288097,4.91764725871901,"ABCF2","10061","ATP binding cassette subfamily F member 2"
"219005_at",-2.5478736574299,6.4395958382855,-4.99025985060736,1.57828465134695e-06,0.000132664042289484,4.90323680987504,"TMEM59L","25789","transmembrane protein 59 like"
"225713_at",-2.47564682184308,5.98950479526051,-4.99011560795977,1.57930250141248e-06,0.000132664042289484,4.90263161897173,"STK11IP","114790","serine/threonine kinase 11 interacting protein"
"211071_s_at",-2.08656789030127,12.3892131479893,-4.98659473639193,1.6043460460688e-06,0.000134543502608841,4.88786319121573,"MLLT11","10962","MLLT11 transcription factor 7 cofactor"
"234991_at",1.68650437479196,7.21625259802669,4.98051227139446,1.6485206180837e-06,0.000138018418059861,4.86236772130043,"ZXDC","79364","ZXD family zinc finger C"
"202349_at",-1.32571578674472,8.21260106720935,-4.97935226745554,1.65707824212385e-06,0.000138504810085048,4.85750795021181,"TOR1A","1861","torsin family 1 member A"
"221538_s_at",-1.8272025764239,10.6371788411943,-4.97846862599527,1.66362598119369e-06,0.00013882187595719,4.8538065306997,"PLXNA1","5361","plexin A1"
"227872_at",-2.0310756979277,8.5070320046803,-4.97771996266126,1.66919317691844e-06,0.00013898962221347,4.85067088087781,"POLR3A","11128","RNA polymerase III subunit A"
"221853_s_at",-1.72786250033396,9.35478577916082,-4.97745717640236,1.67115158551146e-06,0.00013898962221347,4.84957032552268,"NOMO1","23420","NODAL modulator 1"
"202102_s_at",-1.63178914608217,9.42101902573831,-4.97046832564041,1.7240615863125e-06,0.000143153917647012,4.82031619699688,"BRD4","23476","bromodomain containing 4"
"224500_s_at",-1.72644355462198,7.2324253552813,-4.96679379327678,1.75252833097391e-06,0.000145278257252329,4.80494711286359,"MON1A","84315","MON1 vesicular trafficking associated A"
